# Start of measurement: 25.09.2022 15:02:48.7236463 UTC
# Start of measurement - unix time: 1664118168.723
# Chip ID: L7-W0005
# Readout IP address: 192.168.1.153
# Back-end location: Prague, CZ
# Detector mode: ToA & ToT
# Readout mode: Data-Driven Mode
# Bias voltage: 229.89V
# THL = 1558 (0.801V)
# Sensor temperature: 75.4°C
# Readout temperature: 45.1°C
# Matrix clock: 40 MHz
# ------- Internal DAC values ---------------
# Ibias_Preamp_ON:	128	(1.148V)
# Ibias_Preamp_OFF:	8	(1.307V)
# VPreamp_NCAS:		128	(0.621V)
# Ikrum:		15	(1.094V)
# Vfbk:			164	(0.815V)
# Vthreshold_fine:	437	(0.801V)
# Vthreshold_coarse:	7	(0.801V)
# Ibias_DiscS1_ON:	100	(1.038V)
# Ibias_DiscS1_OFF:	8	(1.263V)
# Ibias_DiscS2_ON:	128	(0.319V)
# Ibias_DiscS2_OFF:	8	(0.146V)
# Ibias_PixelDAC:	128	(0.939V)
# Ibias_TPbufferIn:	128	(1.105V)
# Ibias_TPbufferOut:	128	(1.007V)
# VTP_coarse:		128	(0.648V)
# VTP_fine:		256	(0.646V)
# Ibias_CP_PLL:		128	(0.503V)
# PLL_Vcntrl:		128	(0.674V)
# BandGap output:	--- 	(0.616V)
# BandGap_Temp:		--- 	(0.638V)
# Ibias_dac:		--- 	(1.172V)
# Ibias_dac_cas:	--- 	(0.981V)
# DACs: 	128	8	128	15	164	437	7	100	8	128	8	128	128	128	128	256	128	128
# DACs Scans: 	1.148V	1.307V	0.621V	1.094V	0.815V	0.801V	0.801V	1.038V	1.263V	0.319V	0.146V	0.939V	1.105V	1.007V	0.648V	0.646V	0.503V	0.674V	0.616V	0.638V	1.172V	0.981V	
# -----------------------------------------------------------------------------------------------------------------------------
40817	2352766272	6	19
40819	2352766272	5	21
40824	2352766273	13	13
40827	2352766273	9	14
40828	2352766273	7	15
40831	2352766274	12	7
40820	2352766272	3	16
40823	2352766274	0	25
40818	2352766272	5	23
40825	2352766273	13	13
41082	2352766273	9	9
41085	2352766273	2	9
40830	2352766273	3	14
40829	2352766273	7	17
40826	2352766273	12	22
64217	2391605175	5	17
64471	2391605175	6	38
64216	2391605175	5	19
16520	2464162769	9	9
15754	2464162768	2	19
15753	2464162769	14	9
15242	2464162768	2	13
16776	2464162769	8	20
15498	2464162768	2	22
16009	2464162769	14	25
17032	2464162769	6	24
16265	2464162769	13	24
17288	2464162771	0	15
16521	2464162769	10	16
63121	2480441898	12	5
63377	2480441897	3	21
63120	2480441897	4	29
63376	2480441897	4	49
 6145	2501932522	3	1
 6658	2501932522	5	1
 7428	2501932522	6	1
 7431	2501932522	9	1
 5889	2501932522	2	12
 5891	2501932523	13	17
 6661	2501932522	6	3
 6918	2501932522	6	18
 6147	2501932522	2	1
 7173	2501932522	9	3
 7687	2501932522	9	16
 5890	2501932522	3	50
 6917	2501932522	6	16
 7174	2501932522	9	21
 6403	2501932522	7	13
 7685	2501932522	9	16
 6660	2501932522	6	13
 7430	2501932522	9	19
 6659	2501932522	7	28
 7429	2501932522	9	58
 6916	2501932522	6	13
 7686	2501932522	9	38
 6146	2501932522	7	29
 6402	2501932522	7	12
41361	2508849497	8	9
42387	2508849498	9	12
40849	2508849497	10	20
41875	2508849498	14	11
41105	2508849497	9	32
42131	2508849498	12	20
41874	2508849499	0	17
41106	2508849497	9	30
41362	2508849497	9	43
41618	2508849497	6	30
31778	2527604435	8	1
32036	2527604435	10	4
31522	2527604435	3	4
31269	2527604435	7	1
32034	2527604435	7	5
31780	2527604435	11	27
31267	2527604435	9	5
31525	2527604435	9	1
31779	2527604435	9	20
31012	2527604435	10	5
31523	2527604435	9	27
31268	2527604435	11	25
32035	2527604435	9	64
31010	2527604435	8	20
31524	2527604435	11	18
32291	2527604435	7	4
31266	2527604435	7	19
31011	2527604435	9	26
27740	2567784442	4	2
27486	2567784443	5	3
27481	2567784443	15	9
27482	2567784442	3	10
27479	2567784443	15	13
27484	2567784442	4	13
27480	2567784443	15	11
27483	2567784442	4	15
27741	2567784442	5	39
27485	2567784442	4	26
 9984	2634812056	4	11
60448	2666870289	2	11
60192	2666870289	2	15
60449	2666870289	2	16
60193	2666870289	2	21
 5499	2729523962	0	31
 1849	2737006708	7	20
 1850	2737006708	7	21
 2385	2752455247	12	8
 6470	2758566461	4	8
43481	2771795630	5	2
43483	2771795630	4	1
43226	2771795630	6	22
43482	2771795630	7	62
31802	2772038910	9	2
31546	2772038909	8	8
31547	2772038909	10	12
53665	2781902240	6	7
29252	2841118046	13	13
42331	2865883802	6	19
42330	2865883802	6	26
50290	2908716273	11	24
48242	3009116076	9	1
48241	3009116076	10	13
47730	3009116076	10	10
47984	3009116076	10	3
47986	3009116076	11	24
47729	3009116076	11	12
47985	3009116076	11	73
42303	3199763889	2	6
42046	3199763889	3	13
42302	3199763889	3	13
42047	3199763889	3	50
12663	3241537256	14	5
 4465	3299407841	8	6
 4464	3299407841	13	17
35087	3378075899	0	12
35088	3378075899	2	67
53474	3421993772	14	3
53731	3421993771	8	5
53987	3421993771	7	5
53730	3421993770	5	70
53986	3421993770	5	34
20609	3423933262	3	24
20611	3423933262	4	2
20859	3423933264	12	4
21116	3423933264	10	1
20607	3423933263	15	22
20352	3423933262	3	2
20099	3423933262	3	2
20351	3423933262	3	16
20861	3423933263	12	10
21115	3423933263	3	11
20608	3423933264	0	31
20610	3423933262	5	34
20606	3423933264	0	26
20097	3423933262	5	2
20098	3423933262	4	7
20350	3423933262	2	20
20860	3423933263	10	21
20353	3423933262	5	16
20355	3423933262	5	44
20095	3423933262	3	17
20605	3423933263	14	28
19840	3423933262	5	9
20354	3423933262	5	109
20096	3423933262	6	18
19841	3423933262	7	22
59712	3566995829	3	1
59970	3566995829	5	1
60484	3566995830	14	3
60230	3566995829	1	10
59973	3566995829	3	1
59969	3566995829	5	36
59715	3566995829	4	14
59974	3566995829	1	23
59972	3566995831	0	6
59713	3566995829	5	46
59971	3566995829	4	16
60228	3566995829	3	24
60227	3566995831	0	6
60229	3566995829	3	22
59714	3566995829	5	28
13156	3670042306	10	7
13157	3670042306	12	25
 4361	3694721085	5	4
 4618	3694721085	9	14
 4617	3694721085	9	24
12666	3822154454	1	20
19473	3905933718	10	2
19218	3905933718	11	1
18709	3905933718	13	4
18960	3905933718	13	1
18450	3905933718	7	18
18964	3905933718	12	5
19216	3905933718	12	1
18706	3905933717	5	21
18452	3905933717	3	25
18449	3905933718	8	21
18962	3905933718	11	2
18708	3905933717	3	84
18705	3905933717	2	20
18451	3905933717	5	32
18961	3905933717	2	52
18707	3905933717	5	23
19217	3905933719	0	54
64776	4003768367	12	3
64522	4003768367	11	9
64265	4003768367	11	6
64777	4003768366	0	20
64520	4003768367	15	16
64521	4003768367	15	105
31929	4043089158	12	14
30223	4099392377	13	8
30480	4099392377	13	25
30478	4099392377	13	11
30479	4099392377	13	36
16399	4156523742	12	3
16145	4156523742	7	4
15891	4156523744	0	4
16650	4156523741	5	7
16396	4156523741	3	6
16143	4156523742	15	24
16906	4156523741	6	11
16652	4156523741	6	15
16144	4156523742	13	16
15890	4156523742	8	15
16398	4156523741	0	12
16651	4156523741	6	17
16397	4156523741	5	14
15889	4156523742	10	11
27965	4167266062	0	28
57711	4316573273	0	7
57455	4316573271	3	12
 8855	4351016257	1	13
 9194	4359621476	0	16
 9196	4359621474	2	36
 8939	4359621476	0	23
 9195	4359621474	2	40
 8938	4359621476	0	54
48209	4382314157	12	6
47953	4382314157	15	10
23654	4443678377	2	6
23656	4443678377	5	9
22887	4443678377	9	1
22889	4443678377	9	1
23655	4443678377	5	35
23145	4443678377	13	11
23143	4443678377	11	8
23401	4443678377	10	16
23399	4443678377	10	19
22888	4443678377	13	9
23142	4443678379	5	3
23144	4443678377	13	108
23398	4443678377	3	19
23400	4443678377	12	24
42523	4524391137	7	6
42524	4524391137	13	26
22947	4571104167	14	1
22688	4571104167	9	16
22430	4571104167	6	16
22692	4571104168	0	18
22429	4571104167	3	19
22432	4571104167	8	10
22690	4571104167	13	26
22431	4571104167	7	21
22948	4571104166	4	33
22689	4571104167	10	26
22691	4571104167	14	26
23204	4571104166	5	25
48428	4621067861	7	2
48427	4621067859	1	10
10512	4631393592	13	8
10513	4631393592	14	19
  346	4639821190	11	8
  347	4639821190	13	15
28256	4662637759	4	12
28512	4662637759	4	13
28257	4662637759	4	16
28513	4662637759	4	15
30160	4667201916	13	11
50241	4700924248	8	4
50239	4700924249	0	5
49984	4700924248	14	4
50496	4700924247	4	12
50240	4700924247	4	78
58451	4717564906	4	8
12698	4802792411	1	11
12953	4802792411	3	14
12697	4802792411	3	45
24624	4855237033	7	3
25651	4855237033	5	3
23594	4855237033	14	13
24368	4855237033	5	15
24882	4855237033	14	4
24625	4855237033	13	25
25138	4855237032	3	16
24369	4855237033	6	17
25394	4855237032	2	9
24881	4855237034	0	25
25395	4855237032	3	20
55530	4975956278	14	4
 4124	4987686755	0	9
 4123	4987686754	15	11
36023	5077525869	9	24
31862	5131758164	12	21
31606	5131758164	10	16
14532	5322113702	9	12
14276	5322113702	10	41
10262	5398958984	7	8
54151	5413043469	13	14
20173	5439542988	6	9
25678	5542094596	14	3
25169	5542094595	8	8
26189	5542094596	10	19
25423	5542094595	4	10
25168	5542094595	9	15
26190	5542094596	13	10
25424	5542094595	8	21
25679	5542094595	4	23
24913	5542094595	9	11
25934	5542094597	0	28
23576	5590349818	11	10
23321	5590349818	9	6
23577	5590349818	11	44
